Width: 253
Height: 212
268:41 113 148
269:0 60 99
270:82 130 156
271:82 85 82
272:90 85 90
273:33 146 206
274:189 207 214
275:24 101 148
276:0 56 82
277:0 73 115
278:33 105 148
279:57 125 165
280:90 134 165
281:41 89 115
282:0 105 165
283:49 121 156
284:0 28 49
285:132 125 132
286:107 117 107
287:0 12 0
288:49 117 156
289:0 16 24
290:115 154 123
291:57 85 57
292:41 44 41
293:74 89 74
294:49 150 206
295:0 12 16
296:132 186 222
297:74 113 82
298:82 130 90
299:74 85 74
300:33 60 41
301:41 73 41
302:198 199 206
303:115 182 214
304:0 8 16
305:123 186 214
306:41 117 156
307:41 69 49
308:41 101 49
309:0 32 0
310:99 134 107
311:115 166 189
312:115 174 206
313:82 166 214
314:156 199 222
315:33 28 33
316:41 36 41
317:107 134 115
318:0 24 0
319:115 134 115
320:181 186 189
321:206 203 214
322:148 182 198
323:156 190 206
324:140 146 156
325:33 97 123
326:0 101 148
327:156 182 198
328:198 207 222
329:123 182 214
330:49 146 206
331:107 138 156
332:57 105 132
333:99 93 99
334:66 69 66
335:82 97 90
336:82 93 82
337:57 65 66
338:132 166 189
339:173 211 231
340:181 203 214
341:33 109 148
342:49 73 82
343:16 52 66
344:181 207 222
345:49 146 198
346:49 60 74
347:140 178 198
348:24 105 148
349:189 211 231
350:148 186 206
351:33 109 156
352:41 69 82
353:107 166 206
354:198 207 214
355:0 85 123
356:0 8 0
357:74 85 82
358:57 142 189
359:8 134 198
360:222 227 231
361:115 146 165
362:49 138 189
363:66 81 90
364:66 97 115
365:74 89 82
366:0 28 0
367:82 162 206
368:8 52 74
369:132 162 189
370:115 162 189
371:222 223 231
372:189 215 231
373:156 158 165
374:33 130 181
375:156 166 173
376:0 89 132
377:0 12 24
378:49 73 49
379:74 97 82
380:74 77 74
381:181 190 198
382:49 130 173
383:8 60 90
384:107 158 189
385:206 199 206
386:189 199 189
387:140 162 148
388:123 162 181
389:16 105 148
390:8 56 82
391:173 199 222
392:222 211 222
393:107 154 189
394:41 134 181
395:74 97 107
396:148 158 148
397:148 154 148
398:74 101 82
399:0 48 0
400:90 174 214
401:0 4 8
402:8 32 41
403:140 162 173
404:99 130 148
405:156 199 231
406:33 56 33
407:24 52 33
408:189 219 239
409:49 142 189
410:74 81 90
411:8 40 57
412:0 36 49
413:8 40 49
414:115 150 165
415:16 109 156
416:0 121 189
417:49 154 206
418:132 178 198
419:198 199 198
420:181 174 181
421:41 48 41
422:0 44 0
423:189 215 239
424:24 109 156
425:49 60 66
426:90 166 206
427:148 154 156
428:41 65 82
429:115 182 222
430:148 170 148
431:33 81 33
432:198 219 239
433:24 113 156
434:8 130 198
435:123 146 156
436:41 138 189
437:16 134 206
438:49 154 214
439:8 109 156
440:49 65 82
441:33 113 156
442:115 186 222
443:66 162 214
444:16 20 16
445:148 138 148
446:82 89 82
447:99 109 99
448:123 130 132
449:66 150 189
450:198 219 231
451:132 150 165
452:115 121 123
453:41 65 74
454:33 117 156
455:16 142 206
456:57 150 206
457:198 195 198
458:0 40 8
459:82 105 82
460:24 48 66
461:41 44 49
462:132 158 181
463:123 166 189
464:0 56 90
465:214 227 247
466:57 134 173
467:24 28 24
468:33 60 33
469:41 121 165
470:115 121 115
471:123 154 173
472:206 207 214
473:82 162 198
474:148 174 198
475:99 121 132
476:107 138 115
477:0 28 8
478:74 154 198
479:165 166 173
480:181 199 214
481:165 178 189
482:49 125 173
483:57 154 198
484:173 174 173
485:41 40 49
486:99 146 173
487:66 125 165
488:8 4 8
489:181 211 231
490:99 130 107
491:24 48 24
492:0 4 0
493:173 195 206
494:206 223 239
495:247 247 255
496:49 65 74
497:24 117 165
498:82 166 206
499:206 227 247
500:99 178 222
501:123 186 231
502:16 138 206
503:107 178 214
504:33 77 99
505:16 16 16
506:148 150 148
507:41 138 198
508:173 207 222
509:0 8 8
510:8 89 132
511:165 203 222
512:239 239 247
513:82 113 82
514:16 48 24
515:140 174 198
516:90 170 214
517:123 166 198
518:198 203 206
519:74 85 90
520:165 154 165
521:115 146 123
522:24 56 33
523:24 121 173
524:214 227 239
525:8 48 66
526:132 174 198
527:206 211 214
528:214 215 222
529:173 178 181
530:0 125 189
531:24 20 24
532:206 211 206
533:99 105 99
534:66 158 214
535:181 199 206
536:0 44 74
537:132 170 189
538:0 20 24
539:24 24 33
540:16 24 33
541:99 162 206
542:8 121 173
543:16 12 16
544:82 113 90
545:115 138 115
546:231 231 239
547:8 134 206
548:16 101 140
549:8 109 165
550:156 182 206
551:82 170 214
552:16 130 189
553:16 52 74
554:66 73 82
555:16 97 132
556:231 239 247
557:66 158 206
558:8 121 181
559:123 138 148
560:123 125 132
561:16 97 140
562:74 154 206
563:0 69 8
564:90 125 90
565:165 186 198
566:181 211 222
567:231 239 255
568:57 146 189
569:8 48 16
570:8 16 8
571:99 178 214
572:107 142 115
573:99 134 99
574:0 73 8
575:90 125 99
576:66 158 198
577:231 219 231
578:115 142 115
579:90 130 99
580:74 162 214
581:8 44 66
582:123 130 140
583:66 146 189
584:115 158 181
585:74 142 181
586:99 130 99
587:8 77 16
588:222 231 239
589:189 186 198
590:0 32 8
591:107 138 107
592:165 174 181
593:222 235 239
594:16 44 57
595:0 36 8
596:156 186 198
597:33 134 189
598:206 227 239
599:239 235 247
600:8 36 49
601:8 40 16
602:8 125 181
603:173 174 181
604:239 243 247
605:8 113 165
606:0 125 198
607:24 134 189
608:8 8 8
609:8 24 33
610:57 146 198
611:0 130 189
612:107 113 115
613:57 60 66
614:0 97 140
615:0 48 66
616:90 93 99
617:198 223 239
618:140 199 231
619:156 162 165
620:107 109 115
621:90 97 99
622:214 211 222
623:0 32 41
624:8 40 66
625:156 178 198
626:115 166 198
627:148 178 198
628:140 195 231
629:90 158 198
630:206 211 222
631:41 52 57
632:16 113 156
633:173 195 214
634:74 166 214
635:198 223 247
636:8 85 123
637:123 190 222
638:107 174 206
639:8 81 115
640:24 36 41
641:181 182 189
642:222 227 239
643:24 138 206
644:16 48 57
645:8 16 24
646:132 142 148
647:189 190 198
648:57 138 181
649:74 77 82
650:132 134 140
651:74 150 189
652:8 81 123
653:8 48 74
654:132 190 231
655:82 150 189
656:57 158 206
657:90 109 115
658:41 56 66
659:41 130 173
660:90 150 189
661:24 28 33
662:8 20 33
663:24 101 140
664:140 182 198
665:198 199 214
666:33 56 66
667:214 219 231
668:33 81 107
669:90 101 107
670:74 130 165
671:33 138 189
672:49 69 82
673:16 73 107
674:123 134 140
675:16 81 115
676:90 97 107
677:206 223 231
678:33 52 57
679:140 142 148
680:156 186 214
681:24 85 123
682:90 113 123
683:173 178 189
684:8 28 41
685:165 207 231
686:24 130 189
687:16 89 132
688:173 211 239
689:66 138 181
690:33 97 132
691:165 195 214
692:66 142 181
693:16 69 99
694:99 150 181
695:74 138 173
696:140 190 222
697:33 44 49
698:0 65 90
699:99 134 148
700:66 121 148
701:24 125 181
702:107 113 123
703:57 97 123
704:132 146 156
705:33 81 115
706:16 40 49
707:90 121 140
708:74 105 123
709:74 93 107
710:24 69 90
711:115 130 148
712:99 113 123
713:33 73 99
714:24 73 99
715:99 134 156
716:33 125 173
717:82 101 107
718:99 162 198
719:156 195 222
720:57 97 115
721:82 121 148
722:165 199 222
723:90 138 165
724:82 142 173
725:66 85 99
726:49 113 148
727:41 105 140
728:198 215 222
729:74 101 115
730:57 125 156
731:115 178 214
732:49 77 82
733:66 117 140
734:90 170 206
735:173 203 222
736:140 186 206
737:41 73 90
738:82 101 115
739:99 142 173
740:156 195 214
741:66 89 107
742:49 89 107
743:41 101 132
744:132 154 165
745:99 170 214
746:66 89 99
747:74 134 165
748:140 154 165
749:148 186 214
750:57 121 148
751:123 142 156
752:173 199 214
753:107 134 156
754:0 65 107
755:49 109 148
756:57 121 156
757:132 186 214
758:49 73 90
759:66 93 107
760:115 138 156
761:49 81 99
762:156 203 222
763:74 89 107
764:132 154 173
765:66 113 140
766:41 77 99
767:66 125 156
768:74 113 140
769:57 85 99
770:107 142 165
771:41 81 99
772:57 85 107
773:66 121 156
774:90 166 214
775:107 134 148
776:181 199 222
777:173 215 239
778:148 190 222
779:41 81 107
780:206 231 247
781:99 125 140
782:74 121 148
783:165 199 231
784:74 134 173
785:33 69 82
786:132 166 181
787:140 158 173
788:49 56 66
789:24 48 57
790:140 166 189
791:90 109 123
792:33 125 165
793:66 105 132
794:66 150 206
795:165 174 189
796:115 130 140
797:132 162 181
798:24 85 115
799:24 81 107
800:99 130 156
801:49 52 57
802:16 73 99
803:41 48 49
804:140 170 189
805:57 93 115
806:24 44 57
807:24 40 49
808:90 117 140
809:41 125 173
810:148 150 156
811:156 170 181
812:41 125 165
813:41 60 74
814:16 85 123
815:41 69 90
816:49 65 66
817:90 142 173
818:57 117 148
819:49 134 189
820:33 77 107
821:107 150 181
822:82 97 107
823:74 89 99
824:41 130 181
825:33 40 49
826:90 154 189
827:82 85 90
828:90 105 107
829:33 117 165
830:90 117 132
831:189 199 214
832:8 113 173
833:231 235 239
834:24 60 82
835:16 32 49
836:115 142 165
837:99 105 115
838:156 170 173
839:165 182 198
840:123 146 165
841:49 121 165
842:24 32 33
843:33 36 41
844:148 170 181
845:8 32 49
846:16 65 90
847:181 195 198
848:189 195 198
849:8 138 198
850:74 146 189
851:8 93 140
852:115 178 206
853:66 77 90
854:148 199 222
855:24 77 99
856:41 97 132
857:198 211 231
858:189 219 231
859:57 138 189
860:132 195 231
861:8 105 156
862:49 138 181
863:107 117 123
864:16 105 156
865:33 60 74
866:16 101 148
867:8 125 189
868:8 77 115
869:41 150 198
870:99 158 198
871:8 73 107
872:222 219 231
873:16 40 57
874:8 12 16
875:82 154 189
876:165 162 173
877:82 154 198
878:8 65 99
879:132 130 140
880:41 142 189
881:132 170 198
882:33 138 198
883:173 186 198
884:123 170 189
885:8 36 57
886:0 40 0
887:8 130 189
888:132 158 132
889:33 32 41
890:90 97 90
891:173 182 189
892:8 73 8
893:8 36 8
894:82 170 222
895:231 235 247
896:16 20 24
897:16 28 33
898:41 48 57
899:16 113 165
900:107 134 107
901:99 125 99
902:16 109 165
903:16 97 148
904:74 146 181
905:0 109 173
906:24 40 41
907:24 113 165
908:107 142 107
909:123 150 132
910:57 77 82
911:189 223 239
912:24 56 74
913:16 117 173
914:222 231 247
915:115 125 140
916:82 89 90
917:16 32 41
918:24 52 24
919:148 154 165
920:8 56 74
921:16 48 66
922:181 178 189
923:49 130 165
924:156 162 173
925:24 56 24
926:24 44 24
927:33 121 165
928:156 178 189
929:115 150 123
930:8 52 82
931:16 52 24
932:132 154 132
933:49 101 49
934:0 32 57
935:41 138 181
936:8 105 148
937:181 186 181
938:156 162 156
939:57 81 57
940:41 69 41
941:24 36 33
942:33 40 41
943:49 56 57
944:74 81 74
945:90 170 222
946:24 109 148
947:132 195 222
948:132 121 132
949:0 60 8
950:132 138 140
951:33 56 74
952:16 44 66
953:8 97 148
954:8 97 140
955:132 158 140
956:41 105 148
957:24 65 33
958:33 40 33
959:49 142 198
960:165 174 165
961:165 195 206
962:148 158 173
963:41 97 123
964:107 121 107
965:198 195 206
966:74 93 74
967:189 219 247
968:24 40 33
969:132 150 156
970:66 69 74
971:90 174 222
972:57 117 156
973:57 130 173
974:74 125 148
975:156 170 156
976:214 219 214
977:165 190 173
978:90 109 90
979:16 65 82
980:66 134 173
981:99 125 107
982:99 117 99
983:165 182 165
984:74 81 82
985:99 113 107
986:49 60 49
987:82 97 82
988:140 150 165
989:33 130 189
990:82 146 173
991:90 101 115
992:33 73 90
993:33 85 115
994:24 81 115
995:24 89 123
996:82 138 173
997:107 130 115
998:107 166 189
999:0 24 8
1000:49 69 49
1001:214 219 222
1002:49 85 57
1003:49 109 57
1004:57 73 66
1005:66 97 66
1006:74 121 74
1007:231 227 239
1008:16 60 82
1009:33 69 90
1010:57 77 66
1011:16 77 115
1012:8 73 115
1013:99 109 115
1014:99 158 189
1015:107 130 140
1016:57 73 57
1017:41 60 49
1018:206 211 231
1019:107 117 132
1020:74 93 82
1021:132 146 132
1022:165 178 165
1023:90 154 198
1024:8 73 99
1025:74 113 132
1026:90 158 189
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000049210000000620000000000000000000000000000000101289000000000000000000000000000000000000000000000000000000000000000000000000000000000000004011000000062401000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000004011000000062000000000000000000000000000000010128900000000000000000000000000000000000000000000000000000000000000000000000000000000000000401620000000620000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000004883500000003548800000000000000000000000000000078315000000000000000000000000000000000000000000000000000000000000000000000000000000000000000333000000033348800000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000090000000090000000000000000000000000000000013467000000000000000000000000000000000000000000000000000000000000000000000000000000000000004925400000005460800000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000044491000000000000000000000000000000000000000000000001013040000000000000000000000000000004126900000000000000000000000000000000000000000000001218700000000000000000000000000000000000000000000000101377000000000000000000000000000000000000
00000000000000000000000000000000000001290000000000000000000000000000000000000000000000002763770000000000000000000000000000001481600000000000000000000000000000000000000000000001210400000000000000000000000000000000000000000000000464377000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000505102000000000000000000000000000000000000000000000003345310000000000000000000000000000007474000000000000000000000000000000000000000000000054313000000000000000000000000000000000000000000000003253100000000000000000000000000000000
0000000000000000000000000000000000000000050591000000000000000000000000000000000000000000000003512000000000000000000000000000000798000000000000000000000000000000000000000000000005051870000000000000000000000000000000000000000000000027231500000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000148289000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014010000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000023140100000000000000000000000000000020269000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002775090000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000102608000000000000000000000000000000803150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013608000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000104608000000000000000000000000000000131750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090505000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000003805050000000000000000000000000000003317500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102531000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000285174000000000000000000000000000000353200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177174000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103505000000000000000000000000000000175316000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007950500000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000091120000000000000000000000000000007873000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009117400000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000134000000000000000000000000000000016304000000000000000000000000000000918500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000002400000000000000000000000000000006290000000000000000000000000000002813400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000078488000000000000000000000000000000415310000000000000000000000000000001743160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000003949200000000000000000000000000000055184000000000000000000000000000000781020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000016401000000000000000000000000000000928900000000000000000000000000000029522400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000231289000000000000000000000000000000101280000000000000000000000000000002246200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002925430000000000000000000000000000003153150000000000000000000000000000005051750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000343150000000000000000000000000000001378000000000000000000000000000000175540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000412000000000000000000000000000000069304000000000000000000000000000000289185000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000031509000000000000000000000000000000621600000000000000000000000000000028276000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000029248800000000000000000000000000000017453100000000000000000000000000000044417400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000001831220000000000000000000000000000005541000000000000000000000000000000793500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000007460800000000000000000000000000000017453100000000000000000000000000000050518400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000002083160000000000000000000000000000001212720000000000000000000000000000001033900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174543000000000000000000000000000000125310000000000000000000000000000001221740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003617400000000000000000000000000000027110200000000000000000000000000000074340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
