Width: 253
Height: 212
294:99 170 214
295:41 109 148
296:57 69 74
297:24 56 74
298:99 125 107
299:90 109 90
300:156 158 156
301:49 73 57
302:165 182 165
303:156 178 156
304:82 105 90
305:66 154 206
306:16 32 41
307:0 40 57
308:0 121 189
309:156 190 214
310:57 130 173
311:82 146 173
312:165 195 214
313:49 113 156
314:132 158 173
315:57 158 206
316:16 117 173
317:49 77 90
318:24 81 107
319:90 109 123
320:132 162 181
321:82 134 156
322:181 215 231
323:16 101 148
324:0 121 181
325:107 166 206
326:41 113 156
327:57 125 165
328:165 186 206
329:99 138 165
330:41 85 107
331:49 117 156
332:0 105 156
333:0 85 123
334:123 125 123
335:198 195 198
336:99 113 99
337:0 12 0
338:49 154 206
339:115 109 115
340:49 125 165
341:49 150 198
342:74 154 206
343:123 154 123
344:41 77 49
345:82 93 82
346:0 12 24
347:132 186 222
348:156 186 198
349:74 113 82
350:90 134 99
351:74 85 74
352:41 60 41
353:33 69 33
354:16 142 198
355:0 12 16
356:24 142 206
357:165 190 214
358:24 142 198
359:49 69 49
360:41 101 49
361:0 32 8
362:107 138 107
363:132 170 198
364:156 182 206
365:189 203 222
366:115 174 214
367:74 162 206
368:33 32 33
369:115 138 115
370:107 130 107
371:181 190 198
372:181 215 239
373:140 150 156
374:33 101 140
375:198 207 214
376:115 142 165
377:49 109 140
378:90 97 90
379:57 60 66
380:33 109 148
381:49 69 82
382:16 44 57
383:0 8 16
384:214 223 231
385:41 60 66
386:41 36 41
387:0 24 8
388:0 24 0
389:24 105 148
390:181 211 231
391:148 186 214
392:24 77 107
393:49 138 181
394:8 134 206
395:156 182 198
396:231 231 239
397:156 190 206
398:24 138 206
399:33 113 156
400:123 150 165
401:222 223 231
402:41 138 189
403:57 77 90
404:165 166 165
405:0 60 99
406:189 211 222
407:57 93 115
408:82 93 90
409:57 69 66
410:148 142 148
411:8 52 74
412:123 162 181
413:0 28 49
414:123 166 189
415:198 223 239
416:156 158 165
417:33 134 189
418:165 166 173
419:24 20 24
420:41 69 41
421:74 93 74
422:181 186 198
423:41 125 173
424:16 60 82
425:115 162 189
426:24 113 156
427:107 158 189
428:148 182 198
429:198 199 198
430:198 203 198
431:148 166 148
432:90 170 214
433:132 162 189
434:16 105 148
435:49 130 173
436:8 56 82
437:173 195 214
438:49 134 181
439:74 97 115
440:148 154 148
441:74 97 74
442:0 52 8
443:49 138 189
444:0 4 8
445:16 32 49
446:156 170 181
447:107 146 173
448:148 174 189
449:49 81 99
450:66 89 107
451:57 121 156
452:173 195 206
453:156 166 173
454:57 117 148
455:0 36 49
456:24 65 33
457:33 65 33
458:66 150 198
459:57 73 82
460:8 36 49
461:16 36 49
462:123 150 173
463:16 113 165
464:140 170 189
465:156 162 173
466:189 186 198
467:8 134 198
468:16 134 206
469:41 65 74
470:41 117 165
471:165 195 206
472:140 146 156
473:181 203 214
474:198 190 198
475:16 24 24
476:132 150 165
477:16 109 165
478:41 117 156
479:115 186 222
480:0 8 0
481:41 56 66
482:123 130 132
483:8 130 198
484:206 219 239
485:140 158 173
486:8 32 41
487:123 125 132
488:107 182 222
489:57 134 173
490:33 105 148
491:49 85 107
492:16 16 16
493:90 101 90
494:0 60 0
495:82 117 90
496:33 121 165
497:0 105 165
498:99 134 99
499:24 56 24
500:24 60 24
501:0 44 0
502:206 227 247
503:57 65 66
504:74 158 206
505:33 117 156
506:206 227 239
507:239 243 255
508:107 121 115
509:74 109 74
510:115 142 115
511:90 130 99
512:0 73 8
513:8 8 8
514:189 215 231
515:74 93 107
516:0 40 8
517:107 142 115
518:156 158 173
519:8 138 206
520:198 219 239
521:181 199 214
522:165 178 189
523:222 227 231
524:0 28 0
525:90 117 99
526:74 105 74
527:0 60 8
528:49 65 74
529:24 32 33
530:148 174 198
531:82 89 82
532:0 4 0
533:8 4 8
534:206 207 214
535:148 150 156
536:189 203 214
537:24 52 24
538:16 73 24
539:0 28 8
540:90 166 214
541:198 227 239
542:66 158 206
543:90 174 214
544:57 138 181
545:0 48 66
546:214 227 239
547:247 247 255
548:16 130 181
549:57 142 189
550:33 125 181
551:222 231 247
552:140 174 198
553:57 134 181
554:0 32 41
555:33 65 90
556:8 93 140
557:8 20 24
558:16 20 24
559:189 199 214
560:74 166 214
561:8 16 24
562:90 170 222
563:24 105 156
564:198 211 214
565:66 142 189
566:16 130 189
567:165 207 231
568:8 12 8
569:90 174 222
570:16 134 189
571:16 52 74
572:8 85 132
573:123 158 173
574:132 138 148
575:8 138 198
576:57 154 214
577:66 146 189
578:16 97 140
579:247 243 255
580:24 69 99
581:16 93 140
582:107 178 222
583:148 154 156
584:206 203 214
585:0 77 123
586:239 243 247
587:99 162 206
588:0 125 198
589:239 239 247
590:231 235 247
591:206 211 214
592:49 142 189
593:148 178 198
594:214 211 222
595:66 150 189
596:214 215 222
597:165 186 198
598:222 219 231
599:115 121 123
600:231 235 239
601:8 40 57
602:74 150 189
603:8 52 82
604:49 142 198
605:82 154 198
606:189 223 239
607:41 142 189
608:74 154 198
609:0 130 189
610:66 146 198
611:8 48 74
612:115 117 123
613:140 199 231
614:214 219 222
615:90 93 99
616:8 130 189
617:99 174 222
618:90 97 99
619:189 195 198
620:82 85 90
621:8 20 33
622:33 138 198
623:49 52 57
624:156 174 189
625:8 101 148
626:132 134 140
627:140 195 231
628:8 12 16
629:115 162 198
630:8 125 189
631:66 158 214
632:16 125 181
633:90 158 198
634:99 158 189
635:8 121 181
636:66 162 214
637:173 211 231
638:8 85 123
639:206 223 239
640:16 109 156
641:181 219 239
642:16 85 123
643:214 231 239
644:222 235 247
645:24 121 173
646:165 174 181
647:148 186 206
648:16 121 181
649:24 52 66
650:24 60 82
651:74 81 82
652:140 138 148
653:82 150 189
654:222 239 247
655:148 166 173
656:173 215 231
657:49 154 214
658:148 150 148
659:0 44 57
660:165 170 173
661:222 231 239
662:123 186 222
663:24 40 49
664:33 121 173
665:24 109 156
666:115 186 231
667:24 138 189
668:8 117 173
669:57 158 214
670:173 174 181
671:99 113 123
672:82 162 214
673:8 113 165
674:181 199 206
675:132 170 189
676:8 48 66
677:8 28 41
678:33 60 74
679:41 121 165
680:198 215 222
681:24 101 140
682:41 48 57
683:24 117 156
684:49 69 74
685:16 28 33
686:33 40 49
687:107 142 165
688:148 195 222
689:82 134 165
690:140 142 148
691:206 223 231
692:41 138 198
693:16 73 107
694:24 85 115
695:82 97 99
696:41 69 90
697:132 142 148
698:16 77 107
699:90 117 132
700:165 190 198
701:115 146 156
702:49 130 165
703:33 130 189
704:24 93 132
705:49 93 123
706:16 89 132
707:115 158 181
708:41 130 181
709:156 178 198
710:66 134 173
711:49 130 181
712:82 73 82
713:41 130 173
714:33 105 140
715:66 142 181
716:33 130 181
717:99 150 189
718:41 48 49
719:49 73 90
720:49 113 148
721:33 48 57
722:8 36 57
723:16 48 66
724:8 109 156
725:148 150 165
726:115 138 148
727:66 121 148
728:24 125 173
729:49 60 66
730:16 65 90
731:140 166 189
732:57 101 123
733:74 162 214
734:173 211 239
735:8 89 132
736:123 170 189
737:41 134 189
738:0 65 107
739:123 182 214
740:24 52 74
741:24 44 57
742:82 121 140
743:66 101 123
744:0 16 33
745:16 97 148
746:189 215 239
747:8 60 82
748:115 150 173
749:33 73 90
750:107 130 140
751:66 150 206
752:74 117 148
753:33 73 99
754:33 77 99
755:8 97 148
756:99 174 214
757:8 56 74
758:66 81 99
759:156 178 189
760:82 109 123
761:33 97 132
762:82 101 115
763:57 146 189
764:181 182 189
765:0 97 140
766:189 219 231
767:132 146 156
768:33 125 165
769:165 199 222
770:66 69 74
771:57 65 74
772:140 166 181
773:181 207 231
774:140 182 214
775:57 85 99
776:24 48 66
777:99 113 115
778:82 117 140
779:156 195 222
780:107 178 214
781:156 203 222
782:16 73 99
783:132 182 214
784:90 138 165
785:74 134 165
786:0 113 165
787:189 207 214
788:148 190 222
789:231 219 231
790:41 113 148
791:140 150 165
792:57 81 99
793:156 203 231
794:16 93 132
795:173 203 222
796:74 150 198
797:16 56 74
798:82 170 214
799:57 121 165
800:0 65 90
801:8 60 90
802:115 154 173
803:41 150 214
804:8 65 90
805:107 162 189
806:74 142 181
807:173 186 198
808:107 109 115
809:74 77 90
810:8 73 99
811:156 174 181
812:156 203 239
813:148 203 231
814:165 203 222
815:57 97 123
816:66 117 148
817:16 130 198
818:165 182 198
819:173 199 214
820:148 190 214
821:132 178 214
822:140 154 165
823:132 182 206
824:66 138 173
825:90 109 115
826:90 125 148
827:41 69 82
828:8 69 107
829:8 73 107
830:24 48 57
831:49 109 148
832:132 190 231
833:90 101 107
834:24 97 132
835:165 195 222
836:8 65 99
837:90 158 189
838:107 162 198
839:107 113 115
840:33 89 123
841:107 125 132
842:66 109 132
843:41 101 140
844:57 97 115
845:66 121 156
846:107 134 148
847:90 154 189
848:99 101 107
849:115 174 198
850:49 117 148
851:173 199 222
852:107 138 156
853:115 142 156
854:8 69 99
855:74 121 140
856:66 125 156
857:90 150 189
858:82 142 181
859:57 105 132
860:66 125 165
861:41 73 90
862:123 190 231
863:8 77 107
864:107 117 132
865:148 162 173
866:99 142 165
867:123 142 156
868:41 77 99
869:33 93 132
870:74 93 99
871:16 77 115
872:99 105 107
873:82 150 181
874:156 195 231
875:66 85 99
876:41 60 74
877:57 113 140
878:99 174 206
879:99 109 115
880:66 105 132
881:66 89 99
882:99 134 148
883:49 77 99
884:99 162 189
885:74 146 181
886:99 178 214
887:115 130 140
888:82 130 156
889:107 125 140
890:49 93 115
891:99 89 99
892:90 134 165
893:57 121 148
894:181 199 222
895:16 89 123
896:74 101 115
897:82 166 206
898:115 138 156
899:123 146 156
900:206 215 231
901:33 69 90
902:107 182 214
903:90 121 140
904:173 215 239
905:24 89 115
906:140 162 181
907:16 60 90
908:33 93 123
909:99 125 140
910:74 134 173
911:99 113 132
912:49 121 156
913:66 134 165
914:8 8 16
915:148 158 165
916:82 166 214
917:66 73 82
918:8 81 115
919:115 125 140
920:0 97 156
921:8 89 140
922:24 65 90
923:90 130 156
924:173 186 189
925:0 32 57
926:140 190 214
927:16 142 206
928:8 93 132
929:148 158 173
930:41 52 57
931:49 60 57
932:148 178 206
933:198 211 231
934:24 73 90
935:57 146 198
936:99 121 132
937:33 125 173
938:8 105 156
939:24 134 189
940:123 166 198
941:49 56 57
942:66 162 206
943:33 40 41
944:66 97 115
945:82 117 132
946:33 52 66
947:41 125 165
948:24 65 82
949:33 138 189
950:132 166 189
951:90 146 173
952:16 121 173
953:41 134 181
954:214 227 247
955:99 105 115
956:107 150 181
957:24 36 41
958:24 117 165
959:0 44 74
960:33 109 156
961:115 182 214
962:222 211 222
963:90 113 123
964:181 195 198
965:173 174 189
966:173 170 181
967:189 178 189
968:24 32 41
969:0 109 173
970:8 32 49
971:8 44 66
972:8 113 173
973:8 109 165
974:90 101 115
975:33 36 41
976:206 231 247
977:156 170 189
978:231 227 239
979:132 130 140
980:74 77 82
981:16 69 90
982:107 154 181
983:148 195 231
984:74 85 90
985:132 138 140
986:173 178 181
987:74 97 107
988:24 85 123
989:123 170 206
990:90 121 132
991:156 166 181
992:24 97 140
993:123 138 148
994:99 130 148
995:82 105 115
996:41 97 123
997:24 44 49
998:115 134 148
999:41 121 156
1000:123 154 173
1001:41 65 82
1002:132 158 181
1003:115 146 165
1004:181 211 222
1005:99 121 140
1006:173 195 222
1007:24 73 107
1008:165 211 239
1009:49 81 107
1010:181 211 239
1011:49 121 165
1012:24 69 90
1013:24 60 74
1014:49 73 82
1015:33 60 82
1016:123 138 123
1017:33 89 115
1018:115 125 115
1019:49 65 57
1020:140 158 181
1021:82 138 173
1022:173 207 222
1023:214 223 239
1024:123 186 214
1025:90 138 156
1026:66 113 140
1027:57 77 66
1028:33 65 82
1029:115 121 132
1030:107 121 132
1031:165 178 165
1032:74 89 74
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001502300000000000000000000000000000000000000000000000000000000000000000000003551840000000000000000000000000000000000000000000000000000000184355000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133346000000000000000000000000000000000000000000000000000000000000000000000023184000000000000000000000000000000000000000000000000000000018423000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042800000000000000000000000000000000000000000000000000000000000000000000000139240000000000000000000000000000000000000000000000000000000468000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000812390000000000000000000000000000000000000000000000000000000000000000000000139600000000000000000000000000000000000000000000000000000001858000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000002505680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001130000000000000002505130000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000505680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044437000000000000000501980000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000081513000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000024198000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000010049200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012700000000000000083568000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052050000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000346370000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019846000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000568250000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000533169000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002600000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142355000000000000000000000000000000000000000000000000000000355142000000000000000000000000000000020500000002050000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037122000000000000000000000000000000000000000000000000000000411130000000000000000000000000000004441070000000107444000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000534190000000000000000000000000000000000000000000000000000001391670000000000000000000000000000000271000000022453300000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017345000000000000000000000000000000000000000000000000000000368250000000000000000000000000000000093000000010951300000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002061490000000000000023953000000000000000000000000000000568224000000000000000000000000000000000000000000000001425000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150890000000000000046830000000000000000000000000000002489600000000000000000000000000000000000000000000000121149000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002482390000000000000080240000000000000000000000000000000513530000000000000000000000000000000000000000000000012649200000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046420000000000000016760000000000000000000000000000004921090000000000000000000000000000000000000000000000033936800000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001493550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014200000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003714200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000363550000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003681390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045513000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017315600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129492000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000239800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045513000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002506000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004845000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000804190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036819800000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020724000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
